Tags,GO ID,GO Name,GO Category,Size,ES,NES,Nominal p-val,FDR q-val,FWER p-val,Rank at Max,Leading Edge
"[TOP, DETAILS]",GO:0043393,regulation of protein binding,BIOLOGICAL_PROCESS,21,0.36193138,1.9598086,0.003891051,0.21458504,0.998,86,"tags=57%, list=23%, signal=70%"
"[TOP, DETAILS]",GO:0051054,positive regulation of DNA metabolic process,BIOLOGICAL_PROCESS,3,0.8803192,1.9507957,0.004192872,0.22319585,0.998,47,"tags=100%, list=12%, signal=113%"
"[TOP, DETAILS]",GO:0070555,response to interleukin-1,BIOLOGICAL_PROCESS,15,0.4221612,1.944775,0.01369863,0.22735575,0.998,98,"tags=67%, list=26%, signal=86%"
"[TOP, DETAILS]",GO:0090109,regulation of cell-substrate junction assembly,BIOLOGICAL_PROCESS,3,0.8803192,1.9413302,0.003944773,0.22764653,0.999,47,"tags=100%, list=12%, signal=113%"
"[TOP, DETAILS]",GO:0071482,cellular response to light stimulus,BIOLOGICAL_PROCESS,19,0.3736842,1.9387004,0.008179959,0.2267054,0.999,44,"tags=47%, list=12%, signal=51%"
"[TOP, DETAILS]",GO:0006022,aminoglycan metabolic process,BIOLOGICAL_PROCESS,11,0.49061266,1.9345421,0.008213553,0.22815192,1,163,"tags=91%, list=43%, signal=155%"
"[TOP, DETAILS]",GO:0009584,detection of visible light,BIOLOGICAL_PROCESS,17,0.39876503,1.9334584,0.006060606,0.22528116,1,33,"tags=47%, list=9%, signal=49%"
"[TOP, DETAILS]",GO:0009583,detection of light stimulus,BIOLOGICAL_PROCESS,25,0.3322034,1.9317054,0.012244898,0.22343852,1,33,"tags=40%, list=9%, signal=41%"
[TOP],GO:0050435,amyloid-beta metabolic process,BIOLOGICAL_PROCESS,6,0.63494194,1.9288142,0.004056795,0.2238213,1,78,"tags=83%, list=21%, signal=103%"
[TOP],GO:0050906,detection of stimulus involved in sensory perception,BIOLOGICAL_PROCESS,14,0.42602742,1.9286965,0.004201681,0.21978848,1,33,"tags=50%, list=9%, signal=53%"
[TOP],GO:0036335,intestinal stem cell homeostasis,BIOLOGICAL_PROCESS,4,0.76,1.9258826,0.005964215,0.21999109,1,93,"tags=100%, list=25%, signal=131%"
[TOP],GO:0051893,regulation of focal adhesion assembly,BIOLOGICAL_PROCESS,3,0.8803192,1.9218194,0,0.22130878,1,47,"tags=100%, list=12%, signal=113%"
[TOP],GO:2000573,positive regulation of DNA biosynthetic process,BIOLOGICAL_PROCESS,3,0.8803192,1.9177898,0.007662835,0.22308756,1,47,"tags=100%, list=12%, signal=113%"
[TOP],GO:0071347,cellular response to interleukin-1,BIOLOGICAL_PROCESS,15,0.4221612,1.9158922,0.002016129,0.22187869,1,98,"tags=67%, list=26%, signal=86%"
[TOP],GO:0000270,peptidoglycan metabolic process,BIOLOGICAL_PROCESS,6,0.619303,1.9090965,0.00204918,0.2285037,1,147,"tags=100%, list=39%, signal=161%"
[TOP],GO:0030177,positive regulation of Wnt signaling pathway,BIOLOGICAL_PROCESS,12,0.46276116,1.9050918,0.007843138,0.23030712,1,145,"tags=83%, list=38%, signal=131%"
[TOP],GO:0090189,regulation of branching involved in ureteric bud morphogenesis,BIOLOGICAL_PROCESS,4,0.76,1.9021258,0.005882353,0.23075663,1,93,"tags=100%, list=25%, signal=131%"
[TOP],GO:0031343,positive regulation of cell killing,BIOLOGICAL_PROCESS,3,0.82446814,1.898434,0.005836576,0.23296897,1,68,"tags=100%, list=18%, signal=121%"
[TOP],GO:0070371,ERK1 and ERK2 cascade,BIOLOGICAL_PROCESS,21,0.35129026,1.8945942,0.00189394,0.2351075,1,162,"tags=76%, list=43%, signal=126%"
[TOP],GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,BIOLOGICAL_PROCESS,4,0.76,1.8944472,0.003831418,0.23157991,1,93,"tags=100%, list=25%, signal=131%"
[TOP],GO:0032717,negative regulation of interleukin-8 production,BIOLOGICAL_PROCESS,3,0.856383,1.8931699,0,0.22977982,1,56,"tags=100%, list=15%, signal=116%"
[TOP],GO:0007586,digestion,BIOLOGICAL_PROCESS,36,0.2738905,1.886573,0.021442495,0.23668115,1,263,"tags=94%, list=69%, signal=279%"
[TOP],GO:0009411,response to UV,BIOLOGICAL_PROCESS,10,0.50487804,1.8849683,0.019305019,0.23557581,1,78,"tags=70%, list=21%, signal=86%"
[TOP],GO:0032695,negative regulation of interleukin-12 production,BIOLOGICAL_PROCESS,3,0.856383,1.8847747,0.008032128,0.23237795,1,56,"tags=100%, list=15%, signal=116%"
[TOP],GO:0009581,detection of external stimulus,BIOLOGICAL_PROCESS,26,0.31662673,1.8813028,0.014,0.2343538,1,33,"tags=38%, list=9%, signal=39%"
[TOP],GO:0007601,visual perception,BIOLOGICAL_PROCESS,40,0.26666668,1.8767607,0.010224949,0.23781602,1,136,"tags=60%, list=36%, signal=84%"
[TOP],GO:0007608,sensory perception of smell,BIOLOGICAL_PROCESS,8,0.5235849,1.87206,0.00390625,0.2417553,1,89,"tags=75%, list=23%, signal=96%"
[TOP],GO:0098856,intestinal lipid absorption,BIOLOGICAL_PROCESS,7,0.5698925,1.8653889,0.011881189,0.24884714,1,166,"tags=100%, list=44%, signal=175%"
[TOP],GO:0031333,negative regulation of protein complex assembly,BIOLOGICAL_PROCESS,3,0.856383,1.8628129,0.005964215,0.24896424,1,56,"tags=100%, list=15%, signal=116%"
[],GO:0030203,glycosaminoglycan metabolic process,BIOLOGICAL_PROCESS,10,0.4799458,1.8589777,0.00814664,0.251642,1,163,"tags=90%, list=43%, signal=154%"
[],GO:0042051,compound eye photoreceptor development,BIOLOGICAL_PROCESS,6,0.62913316,1.8492477,0.020242915,0.26495013,1,17,"tags=67%, list=4%, signal=69%"
[],GO:0001910,regulation of leukocyte mediated cytotoxicity,BIOLOGICAL_PROCESS,6,0.613941,1.842308,0.011904762,0.27415296,1,149,"tags=100%, list=39%, signal=162%"
[],GO:0007606,sensory perception of chemical stimulus,BIOLOGICAL_PROCESS,12,0.44323346,1.8379669,0.014344262,0.27763325,1,89,"tags=67%, list=23%, signal=84%"
[],GO:0032494,response to peptidoglycan,BIOLOGICAL_PROCESS,3,0.82446814,1.8354095,0.004301075,0.27872962,1,68,"tags=100%, list=18%, signal=121%"
[],GO:0097475,motor neuron migration,BIOLOGICAL_PROCESS,2,0.9814324,1.8341074,0.001941748,0.27773604,1,8,"tags=100%, list=2%, signal=102%"
[],GO:0006639,acylglycerol metabolic process,BIOLOGICAL_PROCESS,16,0.38550276,1.8307236,0.015655577,0.2805826,1,167,"tags=81%, list=44%, signal=139%"
[],GO:0046849,bone remodeling,BIOLOGICAL_PROCESS,11,0.4609684,1.8245063,0.014198783,0.28905267,1,105,"tags=73%, list=28%, signal=98%"
[],GO:1990791,dorsal root ganglion development,BIOLOGICAL_PROCESS,2,0.9814324,1.8236966,0,0.2869583,1,8,"tags=100%, list=2%, signal=102%"
[],GO:0061548,ganglion development,BIOLOGICAL_PROCESS,2,0.9814324,1.8236514,0,0.283531,1,8,"tags=100%, list=2%, signal=102%"
[],GO:0032922,circadian regulation of gene expression,BIOLOGICAL_PROCESS,5,0.64973265,1.8219241,0.01532567,0.2831952,1,135,"tags=100%, list=36%, signal=153%"
[],GO:0006638,neutral lipid metabolic process,BIOLOGICAL_PROCESS,16,0.38550276,1.814989,0.017892644,0.2942001,1,167,"tags=81%, list=44%, signal=139%"
[],GO:0006027,glycosaminoglycan catabolic process,BIOLOGICAL_PROCESS,7,0.57795703,1.8145847,0.017857144,0.29131034,1,163,"tags=100%, list=43%, signal=172%"
[],GO:0070372,regulation of ERK1 and ERK2 cascade,BIOLOGICAL_PROCESS,20,0.33774376,1.8102722,0.015503876,0.2963895,1,162,"tags=75%, list=43%, signal=124%"
[],GO:0008594,photoreceptor cell morphogenesis,BIOLOGICAL_PROCESS,4,0.71,1.8085353,0.011428571,0.29654455,1,17,"tags=75%, list=4%, signal=78%"
[],GO:0006968,cellular defense response,BIOLOGICAL_PROCESS,4,0.70933336,1.8063283,0.012072435,0.29785132,1,112,"tags=100%, list=30%, signal=140%"
[],GO:0009582,detection of abiotic stimulus,BIOLOGICAL_PROCESS,27,0.30218855,1.8057349,0.023529412,0.29562172,1,33,"tags=37%, list=9%, signal=38%"
[],GO:0048806,genitalia development,BIOLOGICAL_PROCESS,6,0.59472746,1.8028482,0.010080645,0.29794794,1,93,"tags=83%, list=25%, signal=109%"
[],GO:0071478,cellular response to radiation,BIOLOGICAL_PROCESS,21,0.3280128,1.8019459,0.018442623,0.29672688,1,44,"tags=43%, list=12%, signal=46%"
[],GO:0002780,antibacterial peptide biosynthetic process,BIOLOGICAL_PROCESS,6,0.57819486,1.7994899,0.022177419,0.29881945,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0006641,triglyceride metabolic process,BIOLOGICAL_PROCESS,13,0.41719213,1.7993178,0.017274473,0.29602796,1,167,"tags=85%, list=44%, signal=146%"
[],GO:0061057,peptidoglycan recognition protein signaling pathway,BIOLOGICAL_PROCESS,3,0.82446814,1.797036,0.01980198,0.2974126,1,68,"tags=100%, list=18%, signal=121%"
[],GO:0022401,negative adaptation of signaling pathway,BIOLOGICAL_PROCESS,3,0.80851066,1.7960892,0.00610998,0.29617098,1,74,"tags=100%, list=20%, signal=123%"
[],GO:0009407,toxin catabolic process,BIOLOGICAL_PROCESS,6,0.58936554,1.7960501,0.022540983,0.29316482,1,95,"tags=83%, list=25%, signal=109%"
[],GO:0009649,entrainment of circadian clock,BIOLOGICAL_PROCESS,6,0.5862377,1.7951788,0.010373444,0.29188955,1,33,"tags=67%, list=9%, signal=72%"
[],GO:0001919,regulation of receptor recycling,BIOLOGICAL_PROCESS,4,0.728,1.7948928,0.012605042,0.28925437,1,105,"tags=100%, list=28%, signal=137%"
[],GO:0022404,molting cycle process,BIOLOGICAL_PROCESS,19,0.35292396,1.7948178,0.020876827,0.28643447,1,231,"tags=95%, list=61%, signal=230%"
[],GO:1900424,regulation of defense response to bacterium,BIOLOGICAL_PROCESS,7,0.54224277,1.7924289,0.013888889,0.28885671,1,68,"tags=71%, list=18%, signal=85%"
[],GO:0002042,cell migration involved in sprouting angiogenesis,BIOLOGICAL_PROCESS,8,0.5229111,1.7914739,0.008247423,0.28804085,1,184,"tags=100%, list=49%, signal=190%"
[],GO:0007628,adult walking behavior,BIOLOGICAL_PROCESS,5,0.6368984,1.78847,0.016913319,0.2908501,1,64,"tags=80%, list=17%, signal=95%"
[],GO:0090263,positive regulation of canonical Wnt signaling pathway,BIOLOGICAL_PROCESS,11,0.44589922,1.788012,0.014492754,0.28882542,1,145,"tags=82%, list=38%, signal=129%"
[],GO:0090659,walking behavior,BIOLOGICAL_PROCESS,5,0.6368984,1.7833452,0.013645224,0.29516798,1,64,"tags=80%, list=17%, signal=95%"
[],GO:0060688,regulation of morphogenesis of a branching structure,BIOLOGICAL_PROCESS,6,0.58981234,1.7807177,0.011583012,0.29830912,1,158,"tags=100%, list=42%, signal=169%"
[],GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",BIOLOGICAL_PROCESS,19,0.34239766,1.7755197,0.018947368,0.3065301,1,155,"tags=74%, list=41%, signal=118%"
[],GO:0097327,response to antineoplastic agent,BIOLOGICAL_PROCESS,16,0.37982094,1.7753718,0.020242915,0.30395922,1,98,"tags=63%, list=26%, signal=81%"
[],GO:0002805,regulation of antimicrobial peptide biosynthetic process,BIOLOGICAL_PROCESS,6,0.57819486,1.7752205,0.028169014,0.30136037,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0009588,"UV-A, blue light phototransduction",BIOLOGICAL_PROCESS,2,0.96816975,1.7751988,0.002070393,0.2986242,1,13,"tags=100%, list=3%, signal=103%"
[],GO:0044241,lipid digestion,BIOLOGICAL_PROCESS,6,0.5683646,1.7668278,0.02258727,0.3142431,1,166,"tags=100%, list=44%, signal=175%"
[],GO:1900426,positive regulation of defense response to bacterium,BIOLOGICAL_PROCESS,7,0.54224277,1.7645938,0.013861386,0.3162218,1,68,"tags=71%, list=18%, signal=85%"
[],GO:0042303,molting cycle,BIOLOGICAL_PROCESS,27,0.28945705,1.7640384,0.01663586,0.3145208,1,234,"tags=89%, list=62%, signal=216%"
[],GO:0009595,detection of biotic stimulus,BIOLOGICAL_PROCESS,11,0.43354744,1.76316,0.026422765,0.31379992,1,184,"tags=91%, list=49%, signal=172%"
[],GO:0050962,detection of light stimulus involved in sensory perception,BIOLOGICAL_PROCESS,6,0.5862377,1.7594584,0.012,0.31977823,1,33,"tags=67%, list=9%, signal=72%"
[],GO:0016056,rhodopsin mediated signaling pathway,BIOLOGICAL_PROCESS,12,0.42643052,1.7592388,0.02004008,0.31746626,1,32,"tags=50%, list=8%, signal=53%"
[],GO:0002807,positive regulation of antimicrobial peptide biosynthetic process,BIOLOGICAL_PROCESS,6,0.57819486,1.7557576,0.021235522,0.32285196,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0009648,photoperiodism,BIOLOGICAL_PROCESS,6,0.5862377,1.7531564,0.01754386,0.32636377,1,33,"tags=67%, list=9%, signal=72%"
[],GO:0002029,desensitization of G protein-coupled receptor signaling pathway,BIOLOGICAL_PROCESS,3,0.80851066,1.7529286,0.021097047,0.32404515,1,74,"tags=100%, list=20%, signal=123%"
[],GO:2000273,positive regulation of signaling receptor activity,BIOLOGICAL_PROCESS,3,0.76861703,1.7507135,0.021868788,0.32656023,1,89,"tags=100%, list=23%, signal=130%"
[],GO:0002786,regulation of antibacterial peptide production,BIOLOGICAL_PROCESS,6,0.57819486,1.7506785,0.016,0.32388467,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0044116,growth of symbiont involved in interaction with host,BIOLOGICAL_PROCESS,5,0.62620324,1.7481685,0.024640657,0.3266007,1,68,"tags=80%, list=18%, signal=96%"
[],GO:0002803,positive regulation of antibacterial peptide production,BIOLOGICAL_PROCESS,6,0.57819486,1.7474542,0.039215688,0.32543856,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0031345,negative regulation of cell projection organization,BIOLOGICAL_PROCESS,24,0.30715966,1.7474233,0.025742574,0.32283837,1,190,"tags=79%, list=50%, signal=149%"
[],GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,BIOLOGICAL_PROCESS,19,0.34239766,1.7468046,0.01814516,0.32157215,1,155,"tags=74%, list=41%, signal=118%"
[],GO:0044110,growth involved in symbiotic interaction,BIOLOGICAL_PROCESS,5,0.62620324,1.7442174,0.03125,0.3248418,1,68,"tags=80%, list=18%, signal=96%"
[],GO:0060765,regulation of androgen receptor signaling pathway,BIOLOGICAL_PROCESS,2,0.9177719,1.7430468,0.007936508,0.32494324,1,32,"tags=100%, list=8%, signal=109%"
[],GO:0071559,response to transforming growth factor beta,BIOLOGICAL_PROCESS,21,0.32349032,1.7429668,0.022727273,0.32246596,1,190,"tags=81%, list=50%, signal=153%"
[],GO:0002238,response to molecule of fungal origin,BIOLOGICAL_PROCESS,5,0.61764705,1.7419245,0.019267824,0.3225212,1,147,"tags=100%, list=39%, signal=161%"
[],GO:2001222,regulation of neuron migration,BIOLOGICAL_PROCESS,6,0.5790885,1.7395148,0.021611001,0.32517782,1,162,"tags=100%, list=43%, signal=172%"
[],GO:0002752,cell surface pattern recognition receptor signaling pathway,BIOLOGICAL_PROCESS,11,0.43354744,1.7391654,0.02414487,0.32361755,1,184,"tags=91%, list=49%, signal=172%"
[],GO:0044117,growth of symbiont in host,BIOLOGICAL_PROCESS,5,0.62620324,1.7381505,0.028513238,0.3235832,1,68,"tags=80%, list=18%, signal=96%"
[],GO:0055007,cardiac muscle cell differentiation,BIOLOGICAL_PROCESS,6,0.5790885,1.7380406,0.01968504,0.3213094,1,162,"tags=100%, list=43%, signal=172%"
[],GO:0071555,cell wall organization,BIOLOGICAL_PROCESS,2,0.9549072,1.7366999,0.003968254,0.32172567,1,18,"tags=100%, list=5%, signal=104%"
[],GO:0006963,positive regulation of antibacterial peptide biosynthetic process,BIOLOGICAL_PROCESS,6,0.57819486,1.7365409,0.033395175,0.31966698,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0007603,"phototransduction, visible light",BIOLOGICAL_PROCESS,12,0.42643052,1.7361298,0.02739726,0.31831077,1,32,"tags=50%, list=8%, signal=53%"
[],GO:0034390,smooth muscle cell apoptotic process,BIOLOGICAL_PROCESS,2,0.9177719,1.7341719,0.007936508,0.31993678,1,32,"tags=100%, list=8%, signal=109%"
[],GO:0001751,compound eye photoreceptor cell differentiation,BIOLOGICAL_PROCESS,7,0.53379416,1.732161,0.01369863,0.32198453,1,17,"tags=57%, list=4%, signal=59%"
[],GO:0048738,cardiac muscle tissue development,BIOLOGICAL_PROCESS,12,0.41643962,1.7313281,0.0251938,0.32154742,1,162,"tags=83%, list=43%, signal=141%"
[],GO:0051057,positive regulation of small GTPase mediated signal transduction,BIOLOGICAL_PROCESS,5,0.6395722,1.7286397,0.028571429,0.32528126,1,63,"tags=80%, list=17%, signal=95%"
[],GO:0002778,antibacterial peptide production,BIOLOGICAL_PROCESS,6,0.57819486,1.7250252,0.022,0.3309682,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0110110,positive regulation of animal organ morphogenesis,BIOLOGICAL_PROCESS,6,0.5790885,1.7248086,0.012244898,0.32902938,1,162,"tags=100%, list=43%, signal=172%"
[],GO:0043524,negative regulation of neuron apoptotic process,BIOLOGICAL_PROCESS,6,0.57551384,1.7243059,0.024590164,0.32787338,1,37,"tags=67%, list=10%, signal=73%"
[],GO:0002715,regulation of natural killer cell mediated immunity,BIOLOGICAL_PROCESS,5,0.6122995,1.7241621,0.021696253,0.32584414,1,149,"tags=100%, list=39%, signal=163%"
[],GO:0018108,peptidyl-tyrosine phosphorylation,BIOLOGICAL_PROCESS,11,0.43132412,1.7234571,0.033203125,0.3250867,1,47,"tags=55%, list=12%, signal=60%"
[],GO:0010661,positive regulation of muscle cell apoptotic process,BIOLOGICAL_PROCESS,2,0.9177719,1.7225368,0.007968128,0.32475284,1,32,"tags=100%, list=8%, signal=109%"
[],GO:0018212,peptidyl-tyrosine modification,BIOLOGICAL_PROCESS,11,0.43132412,1.7224455,0.025,0.32268995,1,47,"tags=55%, list=12%, signal=60%"
[],GO:0090199,regulation of release of cytochrome c from mitochondria,BIOLOGICAL_PROCESS,2,0.9177719,1.7214174,0.015209125,0.32281733,1,32,"tags=100%, list=8%, signal=109%"
[],GO:0002808,regulation of antibacterial peptide biosynthetic process,BIOLOGICAL_PROCESS,6,0.57819486,1.7213812,0.015444015,0.3207326,1,36,"tags=67%, list=9%, signal=72%"
[],GO:0042447,hormone catabolic process,BIOLOGICAL_PROCESS,6,0.5598749,1.7208265,0.018595042,0.31972465,1,106,"tags=83%, list=28%, signal=114%"
[],GO:0001818,negative regulation of cytokine production,BIOLOGICAL_PROCESS,34,0.25652173,1.7203913,0.032258064,0.31854445,1,100,"tags=50%, list=26%, signal=62%"
[],GO:0034391,regulation of smooth muscle cell apoptotic process,BIOLOGICAL_PROCESS,2,0.9177719,1.7203231,0.008547009,0.31662443,1,32,"tags=100%, list=8%, signal=109%"
[],GO:0090201,negative regulation of release of cytochrome c from mitochondria,BIOLOGICAL_PROCESS,2,0.9177719,1.717733,0.014767933,0.31970444,1,32,"tags=100%, list=8%, signal=109%"
[],GO:0002777,antimicrobial peptide biosynthetic process,BIOLOGICAL_PROCESS,6,0.57819486,1.7153924,0.024742268,0.32250217,1,36,"tags=67%, list=9%, signal=72%"
