"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"7401","LOC105674682","gene8911","transmembrane emp24 domain-containing protein eca",987
"7402","LOC105674683","gene8910","uncharacterized LOC105674683",1068
"7076","LOC105674358","gene8912","ras guanine nucleotide exchange factor B-like",1959
"7186","LOC105674468","gene8915","protein TRC8 homolog",3146.66666666667
"7088","LOC105674370","gene8919","uncharacterized LOC105674370",1113
"5332","LOC105672614","gene6983","glutaredoxin-3",1299
"5206","LOC105672488","gene6987","39S ribosomal protein L21, mitochondrial",906
"8604","LOC105675885","gene10039","ran GTPase-activating protein 1",2216
"8627","LOC105675908","gene10035","pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1",1505
"8629","LOC105675910","gene10031","transmembrane and coiled-coil domain-containing protein 1",1597
"3070","LOC105670352","gene535","MMS19 nucleotide excision repair protein homolog",3168
"2989","LOC105670271","gene532","proline synthase co-transcribed bacterial homolog protein",1495
"3077","LOC105670359","gene531","enhancer of rudimentary homolog",661
"5478","LOC105672760","gene7165","mitochondrial ornithine transporter 1",1309
"4877","LOC105672159","gene6572","TBC1 domain family member 7",2427
"4878","LOC105672160","gene6575","cell division cycle-associated protein 7-like",1241
"4876","LOC105672158","gene6574","methyltransferase-like protein 25",1580
"4090","LOC105671372","gene5981","52 kDa repressor of the inhibitor of the protein kinase-like",854.5
"4238","LOC105671520","gene5985","28S ribosomal protein S7, mitochondrial",768
"4239","LOC105671521","gene5986","transmembrane protein 186",838
"524","LOC105667806","gene2665","alpha-crystallin B chain-like",1077
"527","LOC105667809","gene2664","protein lethal(2)essential for life-like",874
"521","LOC105667803","gene2666","peroxisome biogenesis factor 10-like",1311.5
"8979","LOC105676260","gene10646","zinc finger CCCH domain-containing protein 15 homolog",1496
"11082","LOC105678363","gene12263","uncharacterized LOC105678363",748
"11084","LOC105678365","gene12267","",276.5
"8964","LOC105676245","gene10645","eukaryotic translation initiation factor 3 subunit E",1649.5
"12052","LOC105679333","gene1408","THAP domain-containing protein 4-like",402
"12126","LOC105679407","gene1409","6-pyruvoyl tetrahydrobiopterin synthase",981
"12041","LOC105679322","gene1400","F-box only protein 28",1879
"12044","LOC105679325","gene1401","uncharacterized LOC105679325",1521.5
"5021","LOC105672303","gene6729","probable ATP-dependent RNA helicase DDX49",1548
"1123","LOC105668405","gene3138","uncharacterized LOC105668405",1566
"969","LOC105668251","gene3137","39S ribosomal protein L52, mitochondrial",576
"1184","LOC105668466","gene3134","proteasome subunit beta type-5",970
"1186","LOC105668468","gene3132","protein QIL1-like",550
"3085","LOC105670367","gene4998","28S ribosomal protein S15, mitochondrial",997
"11806","LOC105679087","gene12904","uncharacterized LOC105679087",464
"11277","LOC105678558","gene12354","probable splicing factor 3B subunit 5",522
"9956","LOC105677237","gene11244","peptide deformylase, mitochondrial-like",1121
"10352","LOC105677633","gene11715","chaoptin",4850
"893","LOC105668175","gene2987","ARL14 effector protein-like",788
"7919","LOC105675200","gene9351","mannose-1-phosphate guanyltransferase beta",1535
"8916","LOC105676197","gene10248","5-aminolevulinate synthase, erythroid-specific, mitochondrial",1939
"7918","LOC105675199","gene9352","separin",2317
"6641","LOC105673923","gene8219","probable Xaa-Pro aminopeptidase 3",2260
"199","LOC105667481","gene239","uncharacterized LOC105667481",592
"185","LOC105667467","gene238","uncharacterized LOC105667467",201
"6287","LOC105673569","gene7936","locomotion-related protein Hikaru genki",2253.5
"6320","LOC105673602","gene7934","ras-related protein Rab-8A",2411.5
"3175","LOC105670457","gene5062","uncharacterized LOC105670457",1596
"3177","LOC105670459","gene5066","60S ribosomal protein L35a",567
"3179","LOC105670461","gene5065","SPRY domain-containing protein 7",2238
"3161","LOC105670443","gene5068","adrenodoxin-like protein, mitochondrial",691.5
"6623","LOC105673905","gene8212","uncharacterized LOC105673905",1665.5
"5553","LOC105672835","gene7269","uncharacterized LOC105672835",552
"7572","LOC105674853","gene942","uncharacterized LOC105674853",2515
"7577","LOC105674858","gene941","tRNA (guanine-N(7)-)-methyltransferase",1609
"10205","LOC105677486","gene1184","N-alpha-acetyltransferase 38, NatC auxiliary subunit",597
"10212","LOC105677493","gene1186","mismatch repair endonuclease PMS2",2184
"10360","LOC105677641","gene1181","speckle targeted PIP5K1A-regulated poly(A) polymerase-like",1531
"10338","LOC105677619","gene1180","programmed cell death protein 2",1268.33333333333
"10230","LOC105677511","gene1182","transmembrane protein 50A",800
"7685","LOC105674966","gene9169","transcription elongation factor B polypeptide 2",1185
"7682","LOC105674963","gene9168","UPF0483 protein AGAP003155",1046.75
"3000","LOC105670282","gene4918","probable importin subunit alpha-A",1401
"2976","LOC105670258","gene4914","tumor protein p63-regulated gene 1-like protein",1321
"7687","LOC105674968","gene9160","CDK5RAP1-like protein",1991
"3016","LOC105670298","gene4913","C1GALT1-specific chaperone 1-like",1694
"6573","LOC105673855","gene8216","general transcription factor 3C polypeptide 6",904
"11403","LOC105678684","gene12727","39S ribosomal protein L46, mitochondrial",903
"11906","LOC105679187","gene12896","uncharacterized LOC105679187",1033
"11593","LOC105678874","gene12725","eukaryotic initiation factor 4A-I",1749
"11813","LOC105679094","gene12890","pachytene checkpoint protein 2 homolog",1639.33333333333
"11891","LOC105679172","gene12893","vacuolar ATPase assembly integral membrane protein VMA21 homolog",937
"6622","LOC105673904","gene8214","uncharacterized LOC105673904",2769
"10921","LOC105678202","gene12090","ribosomal L1 domain-containing protein CG13096-like",1360
"10922","LOC105678203","gene12091","uncharacterized LOC105678203",1372
"10871","LOC105678152","gene12093","uncharacterized LOC105678152",2943
"10912","LOC105678193","gene12099","uncharacterized LOC105678193",1078
"5661","LOC105672943","gene7334","cytochrome b5",2102
"5644","LOC105672926","gene7330","probable cytochrome P450 6a14",1600
"4499","LOC105671781","gene6327","uncharacterized LOC105671781",4561
"4504","LOC105671786","gene6321","ER membrane protein complex subunit 2-like",1450
"4508","LOC105671790","gene6322","tRNA (guanine(10)-N2)-methyltransferase homolog",1520
"4557","LOC105671839","gene6328","F-box only protein 22-like",1597
"4558","LOC105671840","gene6329","5'-AMP-activated protein kinase subunit beta-2",1298
"3800","LOC105671082","gene5668","uncharacterized LOC105671082",3862.875
"1484","LOC105668766","gene3421","uncharacterized LOC105668766",2644
"3803","LOC105671085","gene5666","uncharacterized LOC105671085",1398
"1041","LOC105668323","gene3267","nuclear speckle splicing regulatory protein 1",1467
"4032","LOC105671314","gene5813","pancreatic triacylglycerol lipase-like",2084
"4033","LOC105671315","gene5812","L-galactose dehydrogenase-like",1686
"6709","LOC105673991","gene8230","frataxin homolog, mitochondrial",756
"7319","LOC105674601","gene8720","ribonuclease H2 subunit B",1223
"6228","LOC105673510","gene7913","eukaryotic translation initiation factor 4 gamma 2",7081
"6415","LOC105673697","gene8027","alcohol dehydrogenase class-3",1557
"6417","LOC105673699","gene8026","phosphatidylinositol-glycan biosynthesis class F protein",1015
"6390","LOC105673672","gene8023","coiled-coil domain-containing protein 39-like",3622
"6410","LOC105673692","gene8022","presenilins-associated rhomboid-like protein, mitochondrial",1307
"6416","LOC105673698","gene8029","inorganic pyrophosphatase",1649
"9771","LOC105677052","gene11018","prostatic acid phosphatase-like",3147.33333333333
"9785","LOC105677066","gene11015","thyroid receptor-interacting protein 6",6226.4
"9770","LOC105677051","gene11017","protein Malvolio",2653.25
"9744","LOC105677025","gene11013","basic helix-loop-helix transcription factor scleraxis-like",1978.75
"205","LOC105667487","gene2394","uncharacterized LOC105667487",1031.66666666667
"12657","LOC105679938","gene1963","chitinase domain-containing protein 1",1442
"12656","LOC105679937","gene1962","sulfatase-modifying factor 1",1191.66666666667
"12653","LOC105679934","gene1966","integrin beta-PS",3410
"233","LOC105667515","gene2396","uncharacterized LOC105667515",836
"7878","LOC105675159","gene9377","nuclear receptor-binding protein homolog",4010.6
"7880","LOC105675161","gene9374","protein N-lysine methyltransferase METTL20-like",1874.42857142857
"7881","LOC105675162","gene9375","uncharacterized LOC105675162",1276
"2305","LOC105669587","gene4218","tudor domain-containing protein 3",2856.5
"9336","LOC105676617","gene10635","ubiquitin-conjugating enzyme E2 G1",944
"9238","LOC105676519","gene10633","TWiK family of potassium channels protein 7",4061
"7492","LOC105674773","gene8975","GDP-fucose protein O-fucosyltransferase 2",1431
"7469","LOC105674750","gene8972","protein FRA10AC1 homolog",925
"7544","LOC105674825","gene9089","coiled-coil domain-containing protein 124",919
"3246","LOC105670528","gene552","peroxisomal biogenesis factor 19",1630
"3300","LOC105670582","gene553","probable 28S rRNA (cytosine-C(5))-methyltransferase",1892
"3254","LOC105670536","gene555","uncharacterized LOC105670536",1074
"347","LOC105667629","gene2465","uncharacterized LOC105667629",1410
"6069","LOC105673351","gene7658","phosphoglucomutase",2220.75
"337","LOC105667619","gene2463","N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein",3081
"6071","LOC105673353","gene7657","uncharacterized LOC105673353",1098
"1811","LOC105669093","gene3823","protein FAM177A1-like",673
"533","LOC105667815","gene2683","rho-associated protein kinase 1",7798
"577","LOC105667859","gene2680","UPF0585 protein C16orf13 homolog A",1343
"610","LOC105667892","gene2689","E3 ubiquitin-protein ligase Rnf220-like",5078
"8639","LOC105675920","gene10022","probable cytochrome P450 305a1",3077
"7644","LOC105674925","gene9113","uncharacterized LOC105674925",1499
"12555","LOC105679836","gene1795","polycomb group RING finger protein 3",1846
"12543","LOC105679824","gene1797","uncharacterized LOC105679824",3927
"11235","LOC105678516","gene12281","synaptic vesicle membrane protein VAT-1 homolog-like",5821
"11147","LOC105678428","gene12283","transcription initiation factor TFIID subunit 7",1645
"11150","LOC105678431","gene12284","probable trafficking protein particle complex subunit 2",880
"2429","LOC105669711","gene4450","KAT8 regulatory NSL complex subunit 2",1634
"1282","LOC105668564","gene3334","uncharacterized LOC105668564",543
"1442","LOC105668724","gene3482","iron-sulfur cluster assembly 2 homolog, mitochondrial",1329
"12059","LOC105679340","gene1426","60S ribosomal protein L18a",675
"8235","LOC105675516","gene9482","acyl-coenzyme A thioesterase 13-like",785
"960","LOC105668242","gene3154","DNA-directed RNA polymerase II subunit RPB3",1021
"1227","LOC105668509","gene3152","40S ribosomal protein S28",505
"1226","LOC105668508","gene3153","MRG/MORF4L-binding protein",1366
"400","LOC105667682","gene2544","insulin-like growth factor-binding protein complex acid labile subunit",3506
"7516","LOC105674797","gene9115","uncharacterized LOC105674797",1064.5
"6897","LOC105674179","gene8457","cysteine-rich protein 2-binding protein",2052
"9873","LOC105677154","gene11225","adenosine 3'-phospho 5'-phosphosulfate transporter 1-like",2628.5
"9869","LOC105677150","gene11221","ecdysone 20-monooxygenase",3288
"9944","LOC105677225","gene11229","uncharacterized LOC105677225",821
"3482","LOC105670764","gene5413","uncharacterized LOC105670764",4494
"3556","LOC105670838","gene5411","coiled-coil domain-containing protein 86",795
"5842","LOC105673124","gene7483","serine/threonine-protein phosphatase 4 catalytic subunit",1518.5
"5185","LOC105672467","gene7053","probable small nuclear ribonucleoprotein G",427
"5953","LOC105673235","gene7481","protein Mo25",1758.33333333333
"12478","LOC105679759","gene1880","E3 ubiquitin-protein ligase TRIM23-like",2485
"12608","LOC105679889","gene1881","gem-associated protein 2-like",931
"12394","LOC105679675","gene1883","codanin-1",3029
"4994","LOC105672276","gene6685","peroxisome assembly protein 12",1228
"4982","LOC105672264","gene6684","SPRY domain-containing SOCS box protein 3-like",974.5
"4981","LOC105672263","gene6683","N-glycosylase/DNA lyase",1317
"6566","LOC105673848","gene8246","WD repeat-containing protein 46",1702
"7262","LOC105674544","gene8760","histidine triad nucleotide-binding protein 3-like",701
"7261","LOC105674543","gene8761","p21-activated protein kinase-interacting protein 1-like",1898
"7218","LOC105674500","gene8767","F-box only protein 32",3687.33333333333
"10403","LOC105677684","gene11736","E3 ubiquitin-protein ligase TRIM71",7075.33333333333
"8805","LOC105676086","gene10179","protein TIPIN homolog",1269
"8903","LOC105676184","gene10178","troponin C, isoform 2-like",1012
"8770","LOC105676051","gene10171","tumor suppressor candidate 3",1501
"8771","LOC105676052","gene10172","polyprenol reductase-like",1657
"8743","LOC105676024","gene10174","polyprenol reductase-like",1371
"10821","LOC105678102","gene1221","probable cytochrome P450 6a14",2462.2
"10621","LOC105677902","gene1226","uncharacterized LOC105677902",3087
"7796","LOC105675077","gene963","",3857
"9871","LOC105677152","gene1163","cytochrome P450 9e2-like",1767
"9801","LOC105677082","gene1162","cytochrome P450 9e2-like",2288
"10152","LOC105677433","gene1166","NADPH oxidase 5",3975.5
"9845","LOC105677126","gene1165","diacylglycerol kinase epsilon",1882.66666666667
"7982","LOC105675263","gene9412","probable G-protein coupled receptor 139",2944.5
"3968","LOC105671250","gene616","cytochrome P450 302a1, mitochondrial",2646
"260","LOC105667542","gene2414","iron-sulfur cluster assembly 1 homolog, mitochondrial",729
"11930","LOC105679211","gene12872","coatomer subunit delta",2125
"11370","LOC105678651","gene12702","tRNA-splicing ligase RtcB homolog",2028
"11920","LOC105679201","gene12878","trafficking protein particle complex subunit 13",1343
"11816","LOC105679097","gene12879","erlin-1-like",1324.4
"5514","LOC105672796","gene774","mRNA-decapping enzyme 1A",2093
"261","LOC105667543","gene2419","exocyst complex component 5",3100
"5861","LOC105673143","gene800","protein tilB homolog",1322
"5653","LOC105672935","gene7319","trafficking protein particle complex subunit 6B",828
"5633","LOC105672915","gene7317","40S ribosomal protein S11",617
"9723","LOC105677004","gene10988","membrane alanyl aminopeptidase-like",2870
"3828","LOC105671110","gene5644","heparanase-like",2582
"3831","LOC105671113","gene5645","uncharacterized LOC105671113",1045
"3847","LOC105671129","gene5648","AN1-type zinc finger protein 1-like",931
"3336","LOC105670618","gene5251","uncharacterized LOC105670618",1293
"9653","LOC105676934","gene10983","prefoldin subunit 5",578
"2963","LOC105670245","gene4872","uncharacterized LOC105670245",200
"9678","LOC105676959","gene11033","60S ribosomal protein L34-like",481
"920","LOC105668202","gene3249","uncharacterized LOC105668202",1624
"7743","LOC105675024","gene9229","transmembrane emp24 domain-containing protein 7-like",1415
"5931","LOC105673213","gene7428","uncharacterized LOC105673213",244
"2970","LOC105670252","gene4878","uncharacterized LOC105670252",920
"3042","LOC105670324","gene4879","ARS-binding factor 2, mitochondrial",1554.5
"12633","LOC105679914","gene1945","ubiquitin-like modifier-activating enzyme 1",5022
"12643","LOC105679924","gene1946","transmembrane protein 165",1720
"12639","LOC105679920","gene1949","uncharacterized LOC105679920",3347
"1081","LOC105668363","gene3270","protein SHQ1 homolog",1897
"1082","LOC105668364","gene3273","mesencephalic astrocyte-derived neurotrophic factor homolog",1687
"796","LOC105668078","gene2900","serine--tRNA ligase, cytoplasmic",1954
"5735","LOC105673017","gene7421","transmembrane protease serine 2-like",1928
"430","LOC105667712","gene2673","coiled-coil domain-containing protein 13",1819
"6260","LOC105673542","gene7873","CDP-diacylglycerol--inositol 3-phosphatidyltransferase",911
"247","LOC105667529","gene2408","THAP domain-containing protein 1-like",1149
"6350","LOC105673632","gene7870","zinc metalloproteinase nas-13-like",2153
"1896","LOC105669178","gene3950","sister chromatid cohesion protein DCC1",2363
"8974","LOC105676255","gene10341","peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme-like",1236
"8933","LOC105676214","gene10346","uncharacterized LOC105676214",1269
"10746","LOC105678027","gene11964","protein-cysteine N-palmitoyltransferase HHAT",1897
"10744","LOC105678025","gene11960","nose resistant to fluoxetine protein 6",2976.5
"10747","LOC105678028","gene11963","DNA primase small subunit",1611
"10735","LOC105678016","gene11962","uncharacterized LOC105678016",1301
"1203","LOC105668485","gene3247","elongator complex protein 4",1423
"3008","LOC105670290","gene4890","U11/U12 small nuclear ribonucleoprotein 35 kDa protein-like",742
"3038","LOC105670320","gene4896","cytochrome b561 domain-containing protein 2-like",1743.5
"10402","LOC105677683","gene117","uncharacterized LOC105677683",815
"2515","LOC105669797","gene4478","calponin homology domain-containing protein DDB_G0272472-like",1545
"7446","LOC105674727","gene8953","THO complex subunit 1",2112.5
"5430","LOC105672712","gene7127","pyroglutamylated RFamide peptide receptor-like",4386.66666666667
"4769","LOC105672051","gene6537","transmembrane protein 258",496
"4768","LOC105672050","gene6536","tumor susceptibility gene 101 protein",1935
"4770","LOC105672052","gene6539","uncharacterized LOC105672052",1314
"11583","LOC105678864","gene12731","dnaJ homolog subfamily B member 11",1562
"6600","LOC105673882","gene8239","N-acetylneuraminate lyase-like",1299
"10874","LOC105678155","gene12110","DNA-directed RNA polymerases I, II, and III subunit RPABC4",1709
"10877","LOC105678158","gene12117","protein C10",699
"5364","LOC105672646","gene753","disks large-associated protein 1-like",2042
"1267","LOC105668549","gene3317","uncharacterized LOC105668549",1809.5
"1241","LOC105668523","gene3315","diphthamide biosynthesis protein 2",1573
"1270","LOC105668552","gene3313","PP2C-like domain-containing protein CG9801",2035.5
"1254","LOC105668536","gene3310","magnesium-dependent phosphatase 1-like",699
"1278","LOC105668560","gene3319","probable cytosolic iron-sulfur protein assembly protein Ciao1",1700
"12086","LOC105679367","gene1442","YEATS domain-containing protein 4",1089
"12087","LOC105679368","gene1443","uncharacterized protein C9orf85 homolog",876
"12089","LOC105679370","gene1448","uncharacterized LOC105679370",1644
"3729","LOC105671011","gene5569","NAD kinase 2, mitochondrial",1689.33333333333
"1848","LOC105669130","gene3845","uncharacterized LOC105669130",504
"8195","LOC105675476","gene9547","peroxiredoxin-like",923
"9280","LOC105676561","gene10339","uncharacterized LOC105676561",1305.5
"9279","LOC105676560","gene10338","venom serine carboxypeptidase",1684
"3730","LOC105671012","gene5564","growth hormone-regulated TBC protein 1-A",1715.5
"3973","LOC105671255","gene5786","U5 small nuclear ribonucleoprotein 40 kDa protein",1245
"3964","LOC105671246","gene5780","chromatin-remodeling complex ATPase chain Iswi",4332
"3633","LOC105670915","gene5432","probable salivary secreted peptide",725
"834","LOC105668116","gene2943","NEDD8-activating enzyme E1 regulatory subunit",1822
"841","LOC105668123","gene2947","THAP domain-containing protein 4-like",499
"858","LOC105668140","gene2949","graves disease carrier protein-like",1511
"1886","LOC105669168","gene3887","DNA polymerase delta subunit 3-like",1561
"283","LOC105667565","gene2437","coiled-coil-helix-coiled-coil-helix domain-containing protein 7",491
"7283","LOC105674565","gene8884","uncharacterized LOC105674565",2216
"2312","LOC105669594","gene4244","mitochondrial chaperone BCS1",1792
"6941","LOC105674223","gene8503","heat shock protein 75 kDa, mitochondrial",2270
"10517","LOC105677798","gene11752","uncharacterized LOC105677798",2301.5
"9205","LOC105676486","gene10402","uncharacterized LOC105676486",1753
"2313","LOC105669595","gene4246","pheromone-binding protein-related protein 6-like",806
"10378","LOC105677659","gene1209","uncharacterized LOC105677659",1238
"10519","LOC105677800","gene1204","uncharacterized LOC105677800",1322
"10531","LOC105677812","gene1202","uncharacterized LOC105677812",947.857142857143
"10526","LOC105677807","gene1203","40S ribosomal protein S23",576
"7366","LOC105674647","gene8881","uncharacterized protein C14orf119",1463.5
"2247","LOC105669529","gene4241","uncharacterized LOC105669529",1305
"5744","LOC105673026","gene7414","odorant receptor 13a-like",1022
"6946","LOC105674228","gene900","uncharacterized LOC105674228",1113
"7415","LOC105674696","gene906","uncharacterized LOC105674696",404
"6945","LOC105674227","gene8507","uncharacterized LOC105674227",1989.33333333333
"9726","LOC105677007","gene1145","uncharacterized LOC105677007",729
"7977","LOC105675258","gene9433","uncharacterized LOC105675258",1308
"7632","LOC105674913","gene9123","fatty-acid amide hydrolase 2-like",2091.5
"4179","LOC105671461","gene639","peptidyl-prolyl cis-trans isomerase FKBP8",1237.66666666667
"20","LOC105667302","gene2207","cytochrome c oxidase assembly protein COX16 homolog, mitochondrial",464
"16","LOC105667298","gene2205","V-type proton ATPase subunit G",1234
"2329","LOC105669611","gene4195","uncharacterized LOC105669611",640
"3770","LOC105671052","gene5605","mitochondrial import receptor subunit TOM40 homolog 1",2542
"13","LOC105667295","gene2200","uncharacterized LOC105667295",481
"5265","LOC105672547","gene7018","ragulator complex protein LAMTOR5 homolog",627
"1404","LOC105668686","gene3553","uncharacterized LOC105668686",5747
"3621","LOC105670903","gene5461","protein MIS12 homolog",967
"670","LOC105667952","gene2780","DNA repair protein complementing XP-A cells homolog",1443.5
"661","LOC105667943","gene2786","transmembrane emp24 domain-containing protein 2-like",1076
"659","LOC105667941","gene2785","alpha/beta hydrolase domain-containing protein 11",1580
"4705","LOC105671987","gene6498","transmembrane emp24 domain-containing protein bai",1031.5
"4706","LOC105671988","gene6499","signal recognition particle 14 kDa protein",789
"1399","LOC105668681","gene3556","zinc finger protein Elbow",5344
"11490","LOC105678771","gene12582","EKC/KEOPS complex subunit Tprkb-like",726
"2825","LOC105670107","gene4733","KRR1 small subunit processome component homolog",1242
"1396","LOC105668678","gene3559","alanine--tRNA ligase, mitochondrial",3258
"12865","LOC105680146","gene2168","60S ribosomal protein L37a",408
"5262","LOC105672544","gene7016","pantothenate kinase 3",2935
"2405","LOC105669687","gene4360","mediator of RNA polymerase II transcription subunit 27",1406.5
"1777","LOC105669059","gene3781","acetyl-CoA acetyltransferase, cytosolic-like",2472
"11227","LOC105678508","gene12328","mpv17-like protein",1350
"11225","LOC105678506","gene12329","transcription factor E2F4-like",1494
"11229","LOC105678510","gene12322","COX assembly mitochondrial protein homolog",485
"11222","LOC105678503","gene12326","leucine-rich repeat-containing protein 28-like",1770.66666666667
"11224","LOC105678505","gene12327","uncharacterized LOC105678505",2410
"11230","LOC105678511","gene12324","uncharacterized LOC105678511",667
"5746","LOC105673028","gene7416","proteasome subunit alpha type-3",972
"7374","LOC105674655","gene8877","cyclin-dependent kinase 10",1463
"12702","LOC105679983","gene2028","ribosome production factor 2 homolog",1138
"7250","LOC105674532","gene8875","ETS homologous factor-like",1785
"7081","LOC105674363","gene8872","ATP synthase subunit s-like protein",1274
"7082","LOC105674364","gene8871","U11/U12 small nuclear ribonucleoprotein 25 kDa protein",869
"2746","LOC105670028","gene4645","RNA-binding protein pno1",1251
"2745","LOC105670027","gene4646","protein TSSC1",1464
"2687","LOC105669969","gene4649","syntaxin-5",1745
"9468","LOC105676749","gene10844","lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",1969
"12605","LOC105679886","gene1925","ras-like GTP-binding protein RhoL",1145.33333333333
"9147","LOC105676428","gene10595","proliferating cell nuclear antigen",1408.5
"12562","LOC105679843","gene1928","uncharacterized LOC105679843",2871
"9146","LOC105676427","gene10592","eukaryotic translation initiation factor 4E-like",1296
"3084","LOC105670366","gene4994","protein KTI12 homolog",1109
"7913","LOC105675194","gene9331","uncharacterized LOC105675194",4519
"2269","LOC105669551","gene4257","uncharacterized LOC105669551",992
