"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"5731","LOC105673013","gene7406","odorant receptor 4-like",840
"5743","LOC105673025","gene7407","putative odorant receptor 98b",1004
"6121","LOC105673403","gene7723","uncharacterized LOC105673403",585
"4596","LOC105671878","gene693","odorant receptor Or2-like",1307
"6936","LOC105674218","gene8485","putative serine/threonine-protein kinase C05D10.2",3358
"9384","LOC105676665","gene10709","odorant receptor 4-like",1368
"9362","LOC105676643","gene10707","odorant receptor 4-like",1335
"6296","LOC105673578","gene861","glutamate receptor ionotropic, kainate 5-like",2312
"1861","LOC105669143","gene3841","sodium-independent sulfate anion transporter-like",2930
"3871","LOC105671153","gene5709","odorant receptor 43a-like",1150
"3885","LOC105671167","gene5707","putative odorant receptor 71a",804
"3883","LOC105671165","gene5706","odorant receptor 43a-like",1141
"9973","LOC105677254","gene11281","uncharacterized LOC105677254",327
"6328","LOC105673610","gene7840","odorant receptor 22c-like",2178
"6330","LOC105673612","gene7841","odorant receptor coreceptor-like",804
"4598","LOC105671880","gene6447","uncharacterized LOC105671880",740
"4592","LOC105671874","gene6410","odorant receptor 43a-like",1764
"4655","LOC105671937","gene6411","pancreatic lipase-related protein 2-like",1085
"1592","LOC105668874","gene3618","TRAF3-interacting protein 1",1890.5
"9452","LOC105676733","gene10812","caveolin-3-like",1869.66666666667
"9371","LOC105676652","gene10722","uncharacterized LOC105676652",1824
"9372","LOC105676653","gene10723","uncharacterized LOC105676653",981
"9373","LOC105676654","gene10724","uncharacterized LOC105676654",1080
"9374","LOC105676655","gene10725","uncharacterized LOC105676655",713
"9377","LOC105676658","gene10729","odorant receptor 22c-like",1252
"8122","LOC105675403","gene9516","glutamate receptor ionotropic, delta-2",3078
"4135","LOC105671417","gene5874","uncharacterized LOC105671417",872
"3538","LOC105670820","gene5355","",209.857142857143
"11399","LOC105678680","gene12651","tetratricopeptide repeat protein 30A",2247
"3356","LOC105670638","gene5235","uncharacterized LOC105670638",1705
"12214","LOC105679495","gene1566","tubulin alpha-1 chain-like",1768
"5742","LOC105673024","gene7409","putative odorant receptor 98b",1217
"9332","LOC105676613","gene10569","uncharacterized LOC105676613",2329
"9432","LOC105676713","gene10742","intraflagellar transport protein 56",2247.33333333333
"10380","LOC105677661","gene11621","uncharacterized LOC105677661",2388
"10454","LOC105677735","gene11626","odorant receptor 13a-like",1292
"10344","LOC105677625","gene11627","uncharacterized LOC105677625",657
"12453","LOC105679734","gene178","uncharacterized LOC105679734",2252
"12457","LOC105679738","gene177","uncharacterized LOC105679738",1787
"5412","LOC105672694","gene751","facilitated trehalose transporter Tret1-2 homolog",2025
"4311","LOC105671593","gene6207","putative odorant receptor 85d",525
"4312","LOC105671594","gene6208","odorant receptor 13a-like",525
"2549","LOC105669831","gene4422","uncharacterized LOC105669831",341
"3790","LOC105671072","gene582","ABC transporter G family member 23-like",2653.66666666667
"12224","LOC105679505","gene1547","acyl-CoA Delta(11) desaturase-like",2153.66666666667
"11373","LOC105678654","gene12676","fork head domain transcription factor slp2-like",2387
"9718","LOC105676999","gene110","odorant receptor Or1-like",1474
"9774","LOC105677055","gene111","odorant receptor 46a, isoform A-like",1012
"9844","LOC105677125","gene112","odorant receptor 46a, isoform B-like",1110
"4997","LOC105672279","gene6654","probable cytochrome P450 6a14",2592
"5232","LOC105672514","gene7063","ADP-ribosylation factor-like protein 3",1268
"5147","LOC105672429","gene7069","uncharacterized LOC105672429",1908
"8381","LOC105675662","gene9814","uncharacterized LOC105675662",1290
"10335","LOC105677616","gene11591","odorant receptor 4-like",609
"6497","LOC105673779","gene8091","uncharacterized LOC105673779",1091.66666666667
"6329","LOC105673611","gene7842","odorant receptor 67c-like",1540
"8382","LOC105675663","gene9816","uncharacterized LOC105675663",615
"5505","LOC105672787","gene7204","odorant receptor 46a, isoform A-like",1720
"5504","LOC105672786","gene7205","odorant receptor Or2-like",1155
"5506","LOC105672788","gene7206","odorant receptor 46a, isoform B-like",1143
"5527","LOC105672809","gene7200","odorant receptor 13a-like",1545.5
"5503","LOC105672785","gene7201","putative odorant receptor 85d",1192
"5517","LOC105672799","gene7208","odorant receptor 46a, isoform A-like",1149
"5515","LOC105672797","gene7209","odorant receptor 46a, isoform A-like",1158
"8378","LOC105675659","gene9810","uncharacterized LOC105675659",597
"2561","LOC105669843","gene485","uncharacterized LOC105669843",1295.5
"3469","LOC105670751","gene5343","odorant receptor 4-like",1164
"3808","LOC105671090","gene5692","uncharacterized LOC105671090",2212.71428571429
"3516","LOC105670798","gene5348","odorant receptor 22c-like",1636
"3471","LOC105670753","gene5347","odorant receptor 85b-like",1254
"3521","LOC105670803","gene5346","odorant receptor coreceptor-like",915
"3470","LOC105670752","gene5345","uncharacterized LOC105670752",4797
"3515","LOC105670797","gene5344","uncharacterized LOC105670797",1334
"3526","LOC105670808","gene5341","odorant receptor 4-like",1187
"3522","LOC105670804","gene5340","odorant receptor 4-like",880
"10000","LOC105677281","gene11290","T-complex-associated testis-expressed protein 1",1358
"7580","LOC105674861","gene9079","odorant receptor 67c-like",1634
"7902","LOC105675183","gene9309","glutamate receptor ionotropic, kainate 5",3615
"5745","LOC105673027","gene7413","odorant receptor 63a-like",921
"8375","LOC105675656","gene9802","uncharacterized LOC105675656",627
"9864","LOC105677145","gene11144","radial spoke head protein 3 homolog B",2078
"7764","LOC105675045","gene9266","protein YIPF1",11776
"488","LOC105667770","gene2574","uncharacterized LOC105667770",727
"492","LOC105667774","gene2577","general odorant-binding protein lush",731
"490","LOC105667772","gene2578","general odorant-binding protein 72-like",886
"6723","LOC105674005","gene8160","sensory neuron membrane protein 1-like",3745
"3536","LOC105670818","gene5364","odorant receptor 4-like",1904
"3537","LOC105670819","gene5363","odorant receptor 45b-like",852
"164","LOC105667446","gene2327","odorant receptor 4-like",1306
"10803","LOC105678084","gene12014","odorant receptor 47a-like",1296
"10805","LOC105678086","gene12016","uncharacterized LOC105678086",1782
"9385","LOC105676666","gene10708","odorant receptor 46a, isoform A-like",1432
"1206","LOC105668488","gene3240","uncharacterized LOC105668488",929
"5538","LOC105672820","gene7227","odorant receptor 82a-like",1965
"2450","LOC105669732","gene4528","uncharacterized protein C1orf177 homolog",1772
"10186","LOC105677467","gene11539","ejaculatory bulb-specific protein 3-like",779
"8613","LOC105675894","gene10005","odorant receptor Or1-like",927
"8607","LOC105675888","gene10007","odorant receptor Or1",1408
"8612","LOC105675893","gene10006","odorant receptor Or1-like",1148
"8600","LOC105675881","gene10009","odorant receptor Or1-like",2049
"8599","LOC105675880","gene10008","odorant receptor Or1-like",1165
"11756","LOC105679037","gene13007","muscle-specific homeobox protein tinman-like",3237
"12271","LOC105679552","gene1607","uncharacterized LOC105679552",2103
"2562","LOC105669844","gene4549","sialin",2330.66666666667
"5647","LOC105672929","gene7369","odorant receptor 13a-like",1372
"165","LOC105667447","gene2326","odorant receptor 4-like",1291
"8438","LOC105675719","gene1034","uncharacterized LOC105675719",5562.5
"7709","LOC105674990","gene9261","uncharacterized LOC105674990",2123
"3528","LOC105670810","gene5342","odorant receptor 4-like",687
"5666","LOC105672948","gene7341","MAGUK p55 subfamily member 2",3178.25
"7083","LOC105674365","gene8698","uncharacterized LOC105674365",2645
"10667","LOC105677948","gene11932","transmembrane protein 145-like",2284
"3546","LOC105670828","gene5407","uncharacterized LOC105670828",2825
"3545","LOC105670827","gene5408","uncharacterized LOC105670827",1771.75
"560","LOC105667842","gene2600","protein NPC2 homolog",1003
"923","LOC105668205","gene3251","putative gustatory receptor 23a, isoform B",956
"9071","LOC105676352","gene10356","putative sodium-dependent multivitamin transporter",2016
"10685","LOC105677966","gene11911","uncharacterized protein C11orf70 homolog",1147
"8410","LOC105675691","gene9898","ras-related and estrogen-regulated growth inhibitor-like",5118.5
"167","LOC105667449","gene2328","uncharacterized LOC105667449",757
"10510","LOC105677791","gene11741","coiled-coil domain-containing protein 170",4019
"5733","LOC105673015","gene7411","odorant receptor 4-like",768
"5426","LOC105672708","gene7129","NACHT and WD repeat domain-containing protein 2",5345
"10789","LOC105678070","gene11973","UNC93-like protein",6661
"6873","LOC105674155","gene8430","putative gustatory receptor 28b",1630
"7467","LOC105674748","gene936","4-coumarate--CoA ligase 1-like",1879.75
"10530","LOC105677811","gene11766","uncharacterized LOC105677811",3838
"6116","LOC105673398","gene7727","uncharacterized LOC105673398",1645
"8053","LOC105675334","gene9497","uncharacterized LOC105675334",5302.5
"371","LOC105667653","gene2516","glutathione S-transferase 1-1-like",1715.5
"9248","LOC105676529","gene10313","protein FAM188B2",3107.5
"11002","LOC105678283","gene12127","tetratricopeptide repeat protein 8",1680
"5850","LOC105673132","gene7459","general odorant-binding protein 71",1970
"9383","LOC105676664","gene10726","odorant receptor 4-like",1409
"9375","LOC105676656","gene10727","odorant receptor 13a-like",1268
"6373","LOC105673655","gene7984","gustatory receptor for sugar taste 43a",3469.5
"9504","LOC105676785","gene1115","D-3-phosphoglycerate dehydrogenase",2999
"11645","LOC105678926","gene12803","uncharacterized LOC105678926",744
"11657","LOC105678938","gene12801","odorant receptor 85b-like",639
"11647","LOC105678928","gene12805","uncharacterized LOC105678928",1334
"11646","LOC105678927","gene12804","uncharacterized LOC105678927",2783
"11291","LOC105678572","gene12376","protein unc-45 homolog B",3650
"5300","LOC105672582","gene6911","homeotic protein empty spiracles-like",4734
"6920","LOC105674202","gene8477","uncharacterized LOC105674202",3944.75
"5382","LOC105672664","gene7083","UDP-glucuronosyltransferase 2C1-like",2102
"4132","LOC105671414","gene5772","anoctamin-4",5238.5
"4464","LOC105671746","gene6148","probable cytochrome P450 304a1",2087
"3637","LOC105670919","gene5483","putative nuclease HARBI1",1508
"5930","LOC105673212","gene7430","putative odorant receptor 92a",905
"10636","LOC105677917","gene11857","uncharacterized LOC105677917",621
"4950","LOC105672232","gene6701","integumentary mucin A.1-like",1557.5
"10342","LOC105677623","gene11622","uncharacterized LOC105677623",852
"10343","LOC105677624","gene11623","odorant receptor 13a-like",2902
"10512","LOC105677793","gene11620","odorant receptor 13a-like",1134
"7388","LOC105674669","gene8674","T-box protein H15-like",4820
"9369","LOC105676650","gene10719","odorant receptor Or2-like",1258
"9368","LOC105676649","gene10718","uncharacterized LOC105676649",1107
"9382","LOC105676663","gene10713","uncharacterized LOC105676663",1216
"9365","LOC105676646","gene10712","odorant receptor 46a, isoform A-like",1200
"9381","LOC105676662","gene10715","odorant receptor 63a-like",1184
"9380","LOC105676661","gene10717","odorant receptor 85f-like",1330
"3873","LOC105671155","gene5712","odorant receptor 43a-like",882
"11492","LOC105678773","gene12586","sodium-independent sulfate anion transporter-like",2834
"6223","LOC105673505","gene7854","serine/threonine-protein kinase mos",1187.5
"2883","LOC105670165","gene4792","coiled-coil domain-containing protein 42 like-2",1352
"9391","LOC105676672","gene10734","aquaporin AQPAe.a-like",889
"9390","LOC105676671","gene10733","odorant receptor 13a-like",1257
"6324","LOC105673606","gene857","glutamate receptor ionotropic, delta-2-like",1955
"7178","LOC105674460","gene80","zeta-sarcoglycan",3691.33333333333
"1844","LOC105669126","gene3838","clusterin-associated protein 1",1425
"4313","LOC105671595","gene6210","odorant receptor 13a-like",975
"4314","LOC105671596","gene6211","uncharacterized LOC105671596",1275
"2121","LOC105669403","gene4106","uncharacterized LOC105669403",443
"2118","LOC105669400","gene4107","uncharacterized LOC105669400",1097
"2119","LOC105669401","gene4104","uncharacterized LOC105669401",1006
"10023","LOC105677304","gene11342","putative uncharacterized protein FLJ37770",525
"8575","LOC105675856","gene9970","general odorant-binding protein 69a-like",937.5
"3426","LOC105670708","gene5274","short-chain dehydrogenase/reductase family 16C member 6-like",1496
"9055","LOC105676336","gene1082","ras-related protein Rab-28-like",1353
"1029","LOC105668311","gene3029","cilia- and flagella-associated protein 45",2157
"5600","LOC105672882","gene7252","nucleobindin-2",2338.6
"6009","LOC105673291","gene7649","neuropathy target esterase sws",4537.5
"5613","LOC105672895","gene769","uncharacterized LOC105672895",377.5
"9642","LOC105676923","gene109","odorant receptor 46a, isoform A-like",1006
"10120","LOC105677401","gene108","odorant receptor Or2-like",861
"9570","LOC105676851","gene107","odorant receptor Or1-like",1072
"9493","LOC105676774","gene106","odorant receptor Or2-like",993
"5148","LOC105672430","gene7070","uncharacterized LOC105672430",1794
"3520","LOC105670802","gene5338","odorant receptor 4-like",1100
"3467","LOC105670749","gene5339","uncharacterized LOC105670749",806
"3517","LOC105670799","gene5337","odorant receptor 4-like",1194
"3519","LOC105670801","gene5334","odorant receptor 4-like",1119
"3524","LOC105670806","gene5335","odorant receptor 2a-like",1070
"6277","LOC105673559","gene7876","ER degradation-enhancing alpha-mannosidase-like protein 2",2669
"4014","LOC105671296","gene5922","uncharacterized LOC105671296",2789.66666666667
"997","LOC105668279","gene3210","esterase FE4-like",1865
"6203","LOC105673485","gene7925","uncharacterized LOC105673485",2338
"5146","LOC105672428","gene7068","putative odorant receptor 71a",1216
"5187","LOC105672469","gene7065","odorant receptor 22c-like",1497
"5184","LOC105672466","gene7066","uncharacterized LOC105672466",1209
"5145","LOC105672427","gene7067","uncharacterized LOC105672427",1440
"6171","LOC105673453","gene7798","cytochrome P450 6k1-like",1994.66666666667
"2231","LOC105669513","gene4247","general odorant-binding protein 69a",567
"10034","LOC105677315","gene11304","RCC1 and BTB domain-containing protein 1-like",2279.25
"3530","LOC105670812","gene5354","odorant receptor 22c-like",1401
"3534","LOC105670816","gene5356","odorant receptor 82a-like",1071
"3533","LOC105670815","gene5357","odorant receptor 82a-like",2001
"3525","LOC105670807","gene5350","odorant receptor 22c-like",453
"3472","LOC105670754","gene5351","odorant receptor 22c-like",522
"3473","LOC105670755","gene5352","odorant receptor 4-like",493
"6551","LOC105673833","gene8086","B9 domain-containing protein 1-like",2121.5
"9650","LOC105676931","gene10965","odorant receptor 22c-like",1076
"7570","LOC105674851","gene9067","transmembrane protein 231-like",1104
"11327","LOC105678608","gene12482","uncharacterized LOC105678608",2890
"8515","LOC105675796","gene9804","odorant receptor 85f-like",585
"717","LOC105667999","gene2813","",252.285714285714
"10778","LOC105678059","gene12010","uncharacterized LOC105678059",1131.6
"1908","LOC105669190","gene3928","uncharacterized LOC105669190",1722
"12333","LOC105679614","gene1672","glutamate receptor-like",1576
"372","LOC105667654","gene2515","glutathione S-transferase 1-1-like",1272.75
"7994","LOC105675275","gene9580","uncharacterized LOC105675275",1080
"9107","LOC105676388","gene1068","protein FAM92A1",1659.5
"7921","LOC105675202","gene9339","uncharacterized LOC105675202",4036
"150","LOC105667432","gene2332","uncharacterized LOC105667432",2535
"163","LOC105667445","gene2330","odorant receptor 22c-like",1314
"156","LOC105667438","gene2337","odorant receptor 4-like",1332
"7445","LOC105674726","gene935","zinc carboxypeptidase A 1-like",933
"7434","LOC105674715","gene8946","THAP domain-containing protein 5-like",893
"3950","LOC105671232","gene5801","spermatogenesis-associated protein 6",1685
"9847","LOC105677128","gene11137","uncharacterized LOC105677128",2282
"6251","LOC105673533","gene7827","maltase 1-like",1824
"8905","LOC105676186","gene10264","very long-chain-fatty-acid--CoA ligase bubblegum",2404.5
"7314","LOC105674596","gene8703","uncharacterized LOC105674596",1873.85714285714
"5618","LOC105672900","gene765","transcription factor Sp9-like",3294
"5648","LOC105672930","gene7370","uncharacterized LOC105672930",1653
"8501","LOC105675782","gene1021","4-coumarate--CoA ligase 1-like",2063.75
